pitch_name,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,count,pfx_z_inches,pfx_x_inches,pitch_group,launch_angle_group
Four-Seam,2024-09-24,96.7,1.53,6.12,"Skubal, Tarik",691406,669373,,ball,,,,,12.0,Junior Caminero flies out to right fielder Wenceel Pérez.,R,R,L,DET,TB,B,,,1,2,2024,0.73,1.25,0.66,4.79,,,,1,7,Top,,,,,668670,,,-3.96741127400675,-140.78993091189608,-0.8662857139204164,10.643786132541216,32.02643895523351,-15.50648027383142,3.32,1.64,,,,96.6,2340.0,6.2,746421,669373,668670,679529,690993,656716,700242,682985,678009,672761,54.3,,,,,,,,47,5,2,0,0,2,0,2,0,2,Standard,Standard,156.0,0.0,0.027,,,1-2,15.0,-8.76,Fastballs,Other
Four-Seam,2024-09-24,96.2,1.31,6.28,"Skubal, Tarik",691406,669373,,foul,,,,,2.0,Junior Caminero flies out to right fielder Wenceel Pérez.,R,R,L,DET,TB,S,,,1,2,2024,0.39,1.54,0.15,3.01,,,,1,7,Top,,,,,668670,,,-3.941406488783093,-139.98761510409426,-6.579002525643985,6.014168465630941,30.990997280394087,-10.631946880392086,3.6,1.67,222.0,76.7,53.0,96.0,2338.0,6.1,746421,669373,668670,679529,690993,656716,700242,682985,678009,672761,54.38,,,,,,,,47,4,2,0,0,2,0,2,0,2,Standard,Standard,153.0,0.0,0.0,78.66306,8.56207,1-2,18.48,-4.68,Fastballs,Under
Changeup,2024-09-24,88.8,1.63,6.07,"Skubal, Tarik",691406,669373,,ball,,,,,14.0,Junior Caminero flies out to right fielder Wenceel Pérez.,R,R,L,DET,TB,B,,,0,2,2024,1.36,0.34,0.99,0.87,,,,1,7,Top,,,,,668670,,,-4.386551516098649,-129.1201020094054,-7.388097147382963,16.129660144217887,26.14897542400794,-27.052307787747967,3.38,1.55,,,,88.5,1696.0,6.1,746421,669373,668670,679529,690993,656716,700242,682985,678009,672761,54.39,,,,,,,,47,3,2,0,0,2,0,2,0,2,Standard,Standard,127.0,0.0,0.013,,,0-2,4.08,-16.32,Offspeed balls,Other
Changeup,2024-09-24,88.3,1.65,6.01,"Skubal, Tarik",691406,669373,,swinging_strike,,,,,14.0,Junior Caminero flies out to right fielder Wenceel Pérez.,R,R,L,DET,TB,S,,,0,1,2024,1.39,0.36,0.87,1.48,,,,1,7,Top,,,,,668670,,,-4.776265700137596,-128.4155077972061,-5.6616295104856365,16.32759854623173,27.23403483357916,-27.19760533890451,3.6,1.67,,,,88.1,1779.0,6.2,746421,669373,668670,679529,690993,656716,700242,682985,678009,672761,54.27,,,,,,,,47,2,2,0,0,2,0,2,0,2,Standard,Standard,129.0,0.0,-0.036,76.40833,9.44113,0-1,4.32,-16.68,Offspeed balls,Other
Changeup,2024-09-24,84.7,1.59,6.14,"Skubal, Tarik",691406,669373,,foul,,,,,8.0,Junior Caminero flies out to right fielder Wenceel Pérez.,R,R,L,DET,TB,S,,,0,0,2024,1.31,0.33,0.12,1.59,,,,1,7,Top,,,,,668670,,,-6.032667092543198,-123.13841864150504,-4.900231449236942,14.539837401276436,25.57576583193638,-27.96284615916938,3.6,1.67,,,,84.3,1684.0,6.1,746421,669373,668670,679529,690993,656716,700242,682985,678009,672761,54.35,,,,,,,,47,1,2,0,0,2,0,2,0,2,Standard,Standard,136.0,0.0,-0.023,81.73895,9.49464,0-0,3.96,-15.72,Offspeed balls,Other
Changeup,2024-09-24,85.3,1.66,5.99,"Skubal, Tarik",676356,669373,field_out,hit_into_play,,,,,6.0,Jonny DeLuca lines out to first baseman Spencer Torkelson.,R,R,L,DET,TB,X,3.0,line_drive,1,1,2024,1.41,0.47,0.41,2.14,,,,0,7,Top,145.35,167.4,,,668670,,,-5.733175183912032,-124.01010303972348,-3.645198637341382,15.747118408022024,25.701087487982427,-26.81439833690761,3.23,1.53,97.0,65.4,12.0,84.7,1765.0,6.0,746421,669373,668670,679529,690993,656716,700242,682985,678009,672761,54.46,0.243,0.219,0.0,1.0,0.0,0.0,Topped,46,3,2,0,0,2,0,2,0,2,Standard,Standard,128.0,0.033,-0.218,72.35616,8.06803,1-1,5.64,-16.919999999999998,Offspeed balls,Sweet Spot
Four-Seam,2024-09-24,94.8,1.31,6.19,"Skubal, Tarik",676356,669373,,called_strike,,,,,7.0,Jonny DeLuca lines out to first baseman Spencer Torkelson.,R,R,L,DET,TB,S,,,1,0,2024,0.65,1.37,-0.38,1.35,,,,0,7,Top,,,,,668670,,,-5.86595470028013,-137.66526335453875,-9.991943571654293,9.5875013862902,31.33967836881977,-12.73119607386491,3.0,1.44,,,,94.7,1968.0,6.4,746421,669373,668670,679529,690993,656716,700242,682985,678009,672761,54.12,,,,,,,,46,2,2,0,0,2,0,2,0,2,Standard,Standard,145.0,0.0,-0.044,,,1-0,16.44,-7.800000000000001,Fastballs,Other
Changeup,2024-09-24,86.7,1.67,6.1,"Skubal, Tarik",676356,669373,,ball,,,,,12.0,Jonny DeLuca lines out to first baseman Spencer Torkelson.,R,R,L,DET,TB,B,,,0,0,2024,1.41,0.68,1.51,2.78,,,,0,7,Top,,,,,668670,,,-3.2316993767553277,-126.1425139068067,-3.0778442522179934,15.637405904487697,27.187946878250973,-24.530998151920397,3.09,1.5,,,,86.3,1785.0,6.2,746421,669373,668670,679529,690993,656716,700242,682985,678009,672761,54.31,,,,,,,,46,1,2,0,0,2,0,2,0,2,Standard,Standard,129.0,0.0,0.034,,,0-0,8.16,-16.919999999999998,Offspeed balls,Other
Changeup,2024-09-24,89.1,1.71,5.99,"Skubal, Tarik",664040,669373,field_out,hit_into_play,,,,,4.0,"Brandon Lowe grounds out softly, pitcher Tarik Skubal to first baseman Spencer Torkelson.",R,L,L,DET,TB,X,1.0,ground_ball,0,1,2024,1.13,0.83,-0.58,2.35,,,,2,6,Top,125.59,202.5,,,668670,,,-7.967518369265182,-129.52184494916204,-4.68626648815364,14.286618912914866,25.17941483293592,-22.08113432233046,3.28,1.49,2.0,59.3,-48.0,89.2,2028.0,6.3,746421,669373,668670,679529,690993,656716,700242,682985,678009,672761,54.25,0.229,0.226,0.0,1.0,0.0,0.0,Weak,42,2,2,0,0,2,0,2,0,2,Infield shade,Standard,136.0,0.012,-0.083,76.72257,7.57313,0-1,9.959999999999999,-13.559999999999999,Offspeed balls,Topped
Changeup,2024-09-24,86.5,1.57,6.03,"Skubal, Tarik",664040,669373,,swinging_strike,,,,,2.0,"Brandon Lowe grounds out softly, pitcher Tarik Skubal to first baseman Spencer Torkelson.",R,L,L,DET,TB,S,,,0,0,2024,1.19,0.97,-0.21,2.79,,,,2,6,Top,,,,,668670,,,-6.67996058461322,-125.90321044930994,-3.52622323250773,13.970410387617957,24.172177342408848,-21.353563432793827,3.28,1.49,,,,86.7,2008.0,6.3,746421,669373,668670,679529,690993,656716,700242,682985,678009,672761,54.2,,,,,,,,42,1,2,0,0,2,0,2,0,2,Infield shade,Standard,136.0,0.0,-0.016,76.28794,7.71884,0-0,11.64,-14.28,Offspeed balls,Other
