name,year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,isolated_power,rbi,b_total_bases,r_total_stolen_base,exit_velocity_avg,hard_hit_percent,oz_contact_percent,pitch_count,iz_contact_percent,whiff_percent
Adley Rutschman,2022,24,398,470,101,52,35,1,13,86,65,18.3,13.8,0.254,0.445,0.362,0.807,0.191,42,177,4,87.9,36.8,67.7,2009,88.5,17.9
Josh Rojas,2022,28,443,510,119,84,25,1,9,98,55,19.2,10.8,0.269,0.391,0.349,0.74,0.122,56,173,23,88.8,36.1,58.3,2033,83.5,22.2
MJ Melendez Jr.,2022,23,460,534,100,58,21,3,18,131,66,24.5,12.4,0.217,0.393,0.313,0.706,0.176,62,181,2,90.7,43.5,53.7,2196,79.3,27.8
Brandon Marsh,2022,24,424,461,104,71,18,4,11,158,28,34.3,6.1,0.245,0.384,0.295,0.679,0.139,52,163,10,89.2,38.2,55.6,1807,77.8,29.1
Sean Murphy,2022,27,537,612,134,77,37,2,18,124,56,20.3,9.2,0.25,0.426,0.332,0.758,0.176,66,229,1,88.7,41.4,61.1,2372,82.7,24.0
Nick Senzel,2022,27,373,420,86,68,13,0,5,76,30,18.1,7.1,0.231,0.306,0.296,0.602,0.075,25,114,8,87.2,33.9,61.2,1473,85.3,21.8
Tommy Edman,2022,27,577,630,153,105,31,4,13,111,46,17.6,7.3,0.265,0.4,0.324,0.724,0.135,57,231,32,88.6,37.8,61.0,2328,87.8,20.6
Will Smith,2022,27,508,578,132,79,26,3,24,96,56,16.6,9.7,0.26,0.465,0.343,0.808,0.205,87,236,1,89.9,43.0,70.9,2373,83.9,19.3
Jack Suwinski,2022,23,326,372,66,36,11,0,19,114,41,30.6,11.0,0.202,0.411,0.298,0.709,0.209,38,134,4,88.3,40.4,42.9,1572,79.6,30.5
Santiago Espinal,2022,27,449,491,120,88,25,0,7,68,36,13.8,7.3,0.267,0.37,0.322,0.692,0.103,51,166,6,86.1,31.7,72.2,1912,88.3,15.5
Jose Miranda,2022,24,444,483,119,79,25,0,15,91,28,18.8,5.8,0.268,0.426,0.325,0.751,0.158,66,189,1,89.3,42.4,56.7,1812,85.2,24.3
