pitch_name,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,count,pfx_z_inches,pfx_x_inches
Sweeper,2023-09-23,80.0,4.23,4.26,"Arraez, Luis",650333,571948,,called_strike,,,,,3,"Luis Arraez grounds out, second baseman Andruw Monasterio to first baseman Carlos Santana.",R,L,L,MIA,MIL,S,,,0,0,2023,-1.07,0.25,0.62,2.96,,,,0,7,Bot,,,,,661388,,,-5.986671024399179,-116.38450102012796,3.395321579551246,-8.586332780818895,21.52441244588195,-30.8020902248358,3.23,1.5,,,,80.5,1879.0,6.6,716460,571948,661388,467793,655316,518626,642715,592885,663368,686217,53.86,,,,,,,,58,1,4,4,4,4,4,4,4,4,Standard,Standard,305.0,0.0,-0.038,0-0,3.0,12.84
4-Seam Fastball,2023-09-23,95.2,-1.27,6.02,"Arraez, Luis",650333,605540,single,hit_into_play,,,,,2,Luis Arraez singles on a ground ball to right fielder Sal Frelick.,R,L,R,MIA,MIL,X,9.0,ground_ball,0,2,2023,-0.33,1.6,0.14,2.85,,,,0,1,Bot,136.34,126.87,,,661388,,,4.445264365701619,-138.44235980003592,-6.299657476701823,-5.201239635128947,30.7164339471454,-10.32315959832848,3.13,1.48,98.0,90.9,6.0,95.3,2406.0,6.4,716460,605540,661388,467793,655316,518626,642715,592885,663368,686217,54.11,0.457,0.411,0.9,1.0,1.0,0.0,4.0,5,3,0,0,0,0,0,0,0,0,Standard,Strategic,204.0,0.036,0.474,0-2,19.200000000000003,3.96
4-Seam Fastball,2023-09-23,91.6,2.1,6.18,"Arraez, Luis",650333,605177,field_out,hit_into_play,,,,,4,Luis Arraez flies out to left fielder Christian Yelich.,R,L,L,MIA,MIL,X,7.0,fly_ball,1,0,2023,0.84,1.36,-0.31,2.3,,542932.0,663743.0,2,8,Bot,51.47,85.7,,,661388,,,-7.967676003793243,-133.05933577776403,-6.9182188875384,11.707375704925957,28.2814838836034,-14.72050921320936,3.13,1.48,335.0,96.6,25.0,92.4,2125.0,6.8,716460,605177,661388,467793,655316,518626,642715,592885,663368,686217,53.68,0.26,0.337,0.0,1.0,0.0,0.0,5.0,71,2,5,4,5,4,4,5,5,4,Standard,Standard,138.0,-0.025,-0.519,1-0,16.32,-10.08
Sinker,2023-09-23,94.4,-1.41,6.11,"Arraez, Luis",650333,605540,,foul,,,,,2,Luis Arraez singles on a ground ball to right fielder Sal Frelick.,R,L,R,MIA,MIL,S,,,0,1,2023,-1.21,1.23,-0.07,2.66,,,,0,1,Bot,,,,,661388,,,6.144639642002151,-137.32728906113462,-6.019470832821152,-16.62011852608108,30.246134230321253,-15.413804149766776,3.13,1.48,252.0,85.2,23.0,94.2,2331.0,6.2,716460,605540,661388,467793,655316,518626,642715,592885,663368,686217,54.34,,,,,,,,5,2,0,0,0,0,0,0,0,0,Standard,Strategic,210.0,0.0,-0.049,0-1,14.76,14.52
4-Seam Fastball,2023-09-23,91.3,1.81,6.37,"Arraez, Luis",650333,605177,,blocked_ball,,,,,13,Luis Arraez flies out to left fielder Christian Yelich.,R,L,L,MIA,MIL,B,,,0,0,2023,0.97,1.32,-1.0,0.6,,542932.0,663743.0,2,8,Bot,,,,,661388,,,-9.212876855494027,-132.18112214078772,-11.413018030581728,13.45766077283485,30.04816943427601,-14.325845343874622,3.19,1.48,,,,91.3,2171.0,6.7,716460,605177,661388,467793,655316,518626,642715,592885,663368,686217,53.76,,,,,,,,71,1,5,4,5,4,4,5,5,4,Standard,Standard,144.0,0.0,0.048,0-0,15.84,-11.64
4-Seam Fastball,2023-09-23,93.0,-1.46,6.09,"Arraez, Luis",650333,605540,,called_strike,,,,,9,Luis Arraez singles on a ground ball to right fielder Sal Frelick.,R,L,R,MIA,MIL,S,,,0,0,2023,-0.54,1.65,0.32,1.97,,,,0,1,Bot,,,,,661388,,,5.746395014552726,-135.20117973330014,-8.39202858347481,-7.879220328370517,29.46280750972788,-10.234003083697154,3.23,1.48,,,,93.0,2398.0,6.3,716460,605540,661388,467793,655316,518626,642715,592885,663368,686217,54.18,,,,,,,,5,1,0,0,0,0,0,0,0,0,Standard,Strategic,202.0,0.0,-0.038,0-0,19.799999999999997,6.48
Cutter,2023-09-22,93.5,-1.06,5.65,"Arraez, Luis",650333,669203,field_out,hit_into_play,,,,,9,Luis Arraez lines out to right fielder Sal Frelick.,R,L,R,MIA,MIL,X,9.0,line_drive,0,1,2023,0.31,0.95,0.56,1.93,,,,0,1,Bot,161.62,80.69,,,661388,,,3.539021030558835,-136.17270495170663,-6.053038320766844,3.1114272556155185,28.57895374704681,-19.19415102720634,3.13,1.48,307.0,85.8,23.0,94.9,2546.0,7.0,716482,669203,661388,467793,668930,518626,642715,592885,663368,686217,53.52,0.226,0.212,0.0,1.0,0.0,0.0,3.0,6,2,0,0,0,0,0,0,0,0,Standard,Strategic,191.0,-0.021,-0.2,0-1,11.399999999999999,-3.7199999999999998
Cutter,2023-09-22,93.5,-1.22,5.71,"Arraez, Luis",650333,669203,,called_strike,,,,,5,Luis Arraez lines out to right fielder Sal Frelick.,R,L,R,MIA,MIL,S,,,0,0,2023,0.26,0.76,-0.16,2.62,,,,0,1,Bot,,,,,661388,,,2.162373710374471,-136.23261555837237,-3.935261558484751,2.794355491986608,29.73493723291121,-22.033818881968458,3.15,1.54,,,,93.8,2605.0,6.4,716482,669203,661388,467793,668930,518626,642715,592885,663368,686217,54.13,,,,,,,,6,1,0,0,0,0,0,0,0,0,Standard,Strategic,186.0,0.0,-0.038,0-0,9.120000000000001,-3.12
4-Seam Fastball,2023-09-18,91.6,-2.64,5.37,"Arraez, Luis",650333,676130,single,hit_into_play,,,,,1,Luis Arraez singles on a sharp line drive to center fielder Brandon Nimmo.,R,L,R,MIA,NYM,X,8.0,line_drive,1,0,2023,-0.57,1.27,-0.67,2.83,,,,0,6,Bot,114.49,89.29,,,553882,,,6.206062337887041,-133.24366308247872,-3.277910945698276,-8.141413022991827,29.17312545719565,-16.59455967979987,3.14,1.48,228.0,100.4,14.0,91.5,2528.0,6.3,716535,676130,553882,624413,641645,677595,596019,643446,607043,621466,54.21,0.791,0.787,0.9,1.0,1.0,0.0,4.0,42,2,1,1,1,1,1,1,1,1,Standard,Standard,210.0,0.051,0.351,1-0,15.24,6.84
4-Seam Fastball,2023-09-18,92.2,-2.65,5.45,"Arraez, Luis",650333,676130,,ball,,,,,11,Luis Arraez singles on a sharp line drive to center fielder Brandon Nimmo.,R,L,R,MIA,NYM,B,,,0,0,2023,-0.97,1.22,-1.46,3.4,,,,0,6,Bot,,,,,553882,,,5.142960810899201,-134.13509409439152,-2.0029114826903243,-12.851292587349008,29.96312104183548,-17.24546628642432,3.08,1.47,,,,92.0,2514.0,6.2,716535,676130,553882,624413,641645,677595,596019,643446,607043,621466,54.27,,,,,,,,42,1,1,1,1,1,1,1,1,1,Standard,Standard,213.0,0.0,0.036,0-0,14.64,11.64
