pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
CU,2024-09-29,82.3,-2.36,5.95,"Schwarber, Kyle",656941,663623,,foul,,,,,13.0,Kyle Schwarber walks.,R,L,R,WSH,PHI,S,,,2,2,2024,0.87,-0.01,-0.9,1.78,,,,0,1,Top,,,,,686452,,,1.627507690597334,-119.79692723734902,-2.9108186886452607,8.017021699911018,24.0563035095125,-31.900884698901244,3.26,1.55,2.0,60.7,-44.0,82.7,2511.0,6.6,744798,663623,686452,608336,671277,677588,683083,695578,696285,686611,53.9,,,,,,,,1,5,Curveball,0,0,0,0,0,0,0,0,Strategic,Standard,65.0,0.0,0.0,72.9488,8.35604
FF,2024-09-29,96.0,-2.27,6.32,"Schwarber, Kyle",656941,671131,,ball,,,,,11.0,Kyle Schwarber strikes out swinging.,R,L,R,WSH,PHI,B,,,1,2,2024,-0.81,1.34,-1.74,3.64,,,,0,7,Top,,,,,686452,,,3.2347141969195308,-139.75446398840043,-4.572896360553424,-11.368908696084349,30.604900646335395,-13.723332765393666,3.3,1.5,,,,96.0,2381.0,6.2,744798,671131,686452,608336,671277,677588,683083,695578,696285,686611,54.31,,,,,,,,54,4,4-Seam Fastball,3,6,6,3,6,3,6,3,Strategic,Standard,226.0,0.0,0.036,,
CH,2024-09-29,88.6,-2.19,6.13,"Schwarber, Kyle",656941,663623,,swinging_strike,,,,,1.0,Kyle Schwarber walks.,R,L,R,WSH,PHI,S,,,2,1,2024,-1.47,0.78,-0.59,2.73,,,,0,1,Top,,,,,686452,,,7.054504542347814,-128.85492240922858,-3.883764325531593,-17.837376245110903,27.101162827574843,-22.885189670250835,3.26,1.55,,,,89.5,2119.0,6.9,744798,663623,686452,608336,671277,677588,683083,695578,696285,686611,53.58,,,,,,,,1,4,Changeup,0,0,0,0,0,0,0,0,Strategic,Standard,226.0,0.0,-0.061,81.73834,8.62265
SI,2024-09-29,92.1,-2.2,5.86,"Schwarber, Kyle",656941,663623,,swinging_strike,,,,,7.0,Kyle Schwarber walks.,R,L,R,WSH,PHI,S,,,2,0,2024,-1.59,0.66,-0.78,1.75,,,,0,1,Top,,,,,686452,,,7.151064515111645,-133.8227259719561,-6.068193454926926,-20.60131516569168,28.895760073939847,-23.1331672325089,3.26,1.55,,,,93.2,2287.0,7.0,744798,663623,686452,608336,671277,677588,683083,695578,696285,686611,53.5,,,,,,,,1,3,Sinker,0,0,0,0,0,0,0,0,Strategic,Standard,225.0,0.0,-0.058,81.51064,8.19773
FS,2024-09-29,83.6,-2.42,6.12,"Schwarber, Kyle",656941,671131,,ball,,,,,11.0,Kyle Schwarber strikes out swinging.,R,L,R,WSH,PHI,B,,,0,2,2024,-0.36,0.55,-0.84,4.03,,,,0,7,Top,,,,,686452,,,4.383840953231467,-121.68057681946,0.5061937629465373,-4.447438907708417,22.99045713463534,-26.967792896719065,3.26,1.46,,,,84.2,1448.0,6.6,744798,671131,686452,608336,671277,677588,683083,695578,696285,686611,53.93,,,,,,,,54,3,Split-Finger,3,6,6,3,6,3,6,3,Strategic,Standard,225.0,0.0,0.021,,
FF,2024-09-29,94.8,-2.15,6.05,"Schwarber, Kyle",656941,663623,,ball,,,,,11.0,Kyle Schwarber walks.,R,L,R,WSH,PHI,B,,,1,0,2024,-0.96,1.26,-1.22,3.14,,,,0,1,Top,,,,,686452,,,4.611172196598632,-138.0139477580925,-4.81602888110594,-13.283184397126902,31.02925378001471,-15.15110660990904,3.24,1.53,,,,95.8,2345.0,6.8,744798,663623,686452,608336,671277,677588,683083,695578,696285,686611,53.66,,,,,,,,1,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,229.0,0.0,0.061,,
FS,2024-09-29,86.1,-2.37,6.15,"Schwarber, Kyle",656941,671131,,foul,,,,,2.0,Kyle Schwarber strikes out swinging.,R,L,R,WSH,PHI,S,,,0,1,2024,-0.96,0.26,-0.07,2.87,,,,0,7,Top,,,,,686452,,,7.40377787035015,-125.23460856826036,-2.0497646789176587,-11.626848059146722,25.947437867007203,-29.27106542302197,3.26,1.55,7.0,79.0,-24.0,86.0,1745.0,6.3,744798,671131,686452,608336,671277,677588,683083,695578,696285,686611,54.19,,,,,,,,54,2,Split-Finger,3,6,6,3,6,3,6,3,Strategic,Standard,227.0,0.0,-0.049,77.98592,7.75346
FF,2024-09-29,96.2,-2.3,6.27,"Schwarber, Kyle",656941,671131,,called_strike,,,,,6.0,Kyle Schwarber strikes out swinging.,R,L,R,WSH,PHI,S,,,0,0,2024,-0.69,1.36,0.55,2.37,,,,0,7,Top,,,,,686452,,,9.165889188207675,-139.5406299248467,-7.815329044365177,-11.19980158074865,33.212208226432054,-12.72796869855175,3.19,1.45,,,,96.2,2444.0,6.6,744798,671131,686452,608336,671277,677588,683083,695578,696285,686611,53.93,,,,,,,,54,1,4-Seam Fastball,3,6,6,3,6,3,6,3,Strategic,Standard,226.0,0.0,-0.033,,
FF,2024-09-29,92.2,-2.13,6.07,"Schwarber, Kyle",656941,663623,,ball,,,,,11.0,Kyle Schwarber walks.,R,L,R,WSH,PHI,B,,,0,0,2024,-0.88,1.35,-1.59,3.77,,,,0,1,Top,,,,,686452,,,3.342231715679259,-134.30634797311043,-3.015469067759609,-11.43283048340012,28.409089702972825,-15.365917823962542,3.28,1.46,,,,93.5,2305.0,6.9,744798,663623,686452,608336,671277,677588,683083,695578,696285,686611,53.56,,,,,,,,1,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,221.0,0.0,0.034,,
ST,2024-09-28,87.2,2.06,5.77,"Schwarber, Kyle",656941,669022,strikeout,swinging_strike,,,,,11.0,Kyle Schwarber strikes out swinging.,R,L,L,WSH,PHI,S,2.0,,0,2,2024,0.13,0.13,-1.03,2.67,,,,0,6,Top,,,,,660688,,,-7.847005896601645,-126.83071057553629,-1.6128330615066933,2.956012730406003,24.68588571651652,-30.60703405343917,3.27,1.54,,,,88.8,2000.0,7.2,744799,669022,660688,608336,671277,677588,683083,695578,696285,686611,53.29,,0.0,0.0,1.0,0.0,0.0,,36,3,Sweeper,0,0,0,0,0,0,0,0,Strategic,Standard,30.0,0.033,-0.146,75.5852,8.5013
